"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"CONNECTOR-M04LOCK";"1X04_LOCK";"D3-2, D5-4, D7-6, D9-8";"Header 4";"";
"4";"";"CONNECTOR-M06LOCK";"1X06_LOCK";"A3-0, D5-2, D9-6, D13-10";"Header 6  Standard 6-pin 0.1" header";"";
"1";".1 @ 25V";"CAPPTH2";"C-PTH-0.100";"C2";"";"";
"1";"470 uF @ 16V";"CAP-POLPTH-3.5MM";"E3.5-10";"C1";"";"";
"1";"5V PWR";"CONNECTOR-DC-POWER-RA";"DCJ0202";"J1";"DC POWER JACK";"";
"1";"5V PWR";"CONNECTOR-M04SCREW_LOCK";"SCREWTERMINAL-3.5MM-4_LOCK";"CON1";"Header 4";"";
"4";"CONNECTOR-M03MOLEX-254-LOCK";"CONNECTOR-M03MOLEX-254-LOCK";"MOLEX-1X3_LOCK";"D10, D11, D12, D13";"";"";
"2";"CONNECTOR-M102MM";"CONNECTOR-M102MM";"1X10-2MM";"D2-D9, D10-A3";"Header 10";"";
"1";"NANO";"NANO";"NANO";"U$1";"Arduino Nano";"";
"1";"Unused I/O";"CONNECTOR-M08LOCK";"1X08_LOCK";"J2";"Header 8";"";
